X,Y,g1,g2,g3,g4,r1,r2,r3,r4,r5,r6,a1,a2,a3,a4,f1,f2
258990.9766,4152674.768,0.498693,0.498103,0.999921,0.516011,1.84E-09,0.00117156,0.0658792,1.09E-06,6.97E-07,0.00219907,0.911139,0.983052,1.09E-05,0.000814007,0.988225,0.467706
241740.9766,4148024.768,0.717763,0.521849,0.0120396,0.482173,1.47E-09,0.379554,1,1.06E-05,0.000339497,0.074553,0.00152214,0.049311,0.00304824,0.739468,0.00341841,0
264990.9766,4153274.768,0.647869,0.563453,0.999907,0.466915,2.16E-09,0.00117156,0.998812,2.33E-07,1.42E-07,1.55E-05,0.951399,0.911139,0.00109851,0.00531394,0.628737,0.361254
257640.9766,4121324.768,0.495331,0.556136,-8.74E-09,0.839692,9.97E-08,1.46E-05,0.00854991,0.54568,4.58E-05,1,0.99979,0.00351221,0.0814708,0.0278055,0.00354476,0
264840.9766,4145024.768,0.659566,0.644563,0.999912,0.674925,4.92E-09,0.00017162,0.00102095,5.93E-07,3.29E-07,5.03E-06,0.00188206,0.00594022,0.998812,0.00594022,0.0294036,0
273090.9766,4141574.768,0.576792,0.5543,0.999977,0.468667,7.48E-09,0.000214474,4.05E-05,1.15E-07,6.92E-08,9.86E-07,0.644455,0.0232488,0.266808,0.334109,0.99999,0.674046
260340.9766,4143074.768,0.721887,0.576447,0.999535,0.43529,4.98E-09,0.000307124,0.00561666,3.76E-06,1.25E-06,0.000109453,0.0232488,0.505554,0.951399,0.505554,0.00060522,0
254640.9766,4131824.768,0.525542,0.49101,0.96604,0.65479,1.46E-08,0.0814708,0.963341,1.52E-05,6.16E-06,0.220596,0.99979,0.993318,0.00681785,0.993318,0.000126379,0
261090.9766,4125074.768,0.439613,0.517687,1.61093,0.849639,6.43E-08,1.96E-05,0.00659141,0.000139278,2.45E-05,0.0814708,0.951399,0.0373808,0.00137336,0.0975886,0.0301201,0
258390.9766,4137824.768,0.514321,0.498964,0.981881,0.675368,8.24E-09,0.00022083,0.505554,7.12E-06,3.46E-06,0.0258007,0.993318,0.993318,0.0216234,0.983052,0.0158837,0
245490.9766,4146224.768,0.524094,0.558584,0.642198,0.801124,1.99E-09,0.000295458,0.822866,0.000097942,0.049311,0.0154375,0.13926,0.0334507,0.0182226,0.175138,0.936851,0.316678
260340.9766,4148624.768,0.631656,0.536508,0.999763,0.468663,2.82E-09,0.014041,0.00336806,1.59E-06,7.82E-07,0.000123957,0.852593,0.450913,0.000159778,0.0334507,0.000610719,0
275490.9766,4115174.768,0.394505,0.510969,-8.35E-05,0.848651,7.28E-07,0.0013976,2.14E-06,3.92E-05,4.65E-06,3.78E-06,0.0658792,0.775812,0.014041,0.0123137,0.99999,0.443721
274290.9766,4098224.768,0.405071,0.26783,1.04049,0.421429,0.192698,1.19E-05,3.16E-06,0.000013187,4.46E-07,3.63E-07,0.998812,9.00E-05,0.00106253,0.00361861,0.0757475,0
261690.9766,4138274.768,0.681411,0.550867,0.998213,0.497526,9.32E-09,2.48E-05,0.00110615,1.95E-06,1.11E-06,0.000193418,0.00210001,0.00351221,0.99979,0.00432155,0.0314332,0
237690.9766,4149824.768,0.54856,0.437961,0.00898335,0.562341,1.10E-09,0.00133992,0.603523,1.52E-06,1.67E-05,0.175138,0.852593,0.983052,0.644455,0.99979,0.00532682,0
253140.9766,4110674.768,0.542382,0.557235,1.86E-05,0.807954,3.30E-07,0.000448485,1,0.0123137,0.000690191,0.379554,7.57E-06,0.00210001,0.000840124,0.505554,0.00264454,0
249240.9766,4106624.768,0.312631,0.543847,0.996779,0.868815,1.95E-07,0.000413672,0.192698,0.000272843,0.000215996,0.00296155,1.02E-06,0.00531394,0.00343923,0.99979,0.00139884,0
243540.9766,4116074.768,0.5164,0.610936,0.999977,0.701454,3.20E-08,0.0334507,0.00122063,0.121952,1.43E-06,0.993318,6.16E-06,0.000873001,0.000117165,0.0126497,0.012783,0
246390.9766,4115474.768,0.471467,0.492426,0.000145358,0.767629,5.43E-08,0.00740395,0.0239641,0.0201307,4.35E-06,0.101355,1.38E-05,0.0108335,0.00219907,0.000801314,0.000259099,0
273990.9766,4142324.768,0.651678,0.565002,0.999847,0.492477,6.56E-09,0.000156193,9.00E-05,9.01E-08,5.65E-08,7.02E-07,0.993318,0.13926,0.0454091,0.0165251,0.383067,0.548552
265140.9766,4120274.768,0.623618,0.451422,1.00015,0.722165,2.46E-07,0.00033322,0.000050008,0.000622677,0.0135068,0.0232488,0.852593,0.220596,0.0814708,0.505554,0.0657957,0
269040.9766,4122674.768,0.591796,0.522877,1.04107,0.764216,2.08E-07,1,0.000675514,1.35E-05,9.13E-05,0.0096624,0.00785489,0.0309627,0.00188206,0.0334507,0.030303,0
260190.9766,4101524.768,0.517496,0.480694,1.017,0.774123,1.89E-05,0.000489747,0.0158774,5.16E-06,0.000486872,5.58E-06,9.00E-05,1.11E-05,0.0054369,0.379554,0.0227496,0
263490.9766,4130474.768,0.525542,0.49101,0.96604,0.65479,3.03E-08,1.15E-05,0.993318,4.71E-06,2.90E-06,0.13926,0.852593,0.911139,0.000532446,0.0123137,0.00305245,0
242940.9766,4129424.768,0.554426,0.617498,0.999734,0.773235,1.06E-08,0.000135616,0.99979,6.57E-06,9.63E-06,0.000997506,0.000342138,0.000148617,0.00258226,0.0187584,9.17E-05,0
275490.9766,4102574.768,0.478283,0.528407,0.999954,0.591282,0.000524812,0.000114692,3.94E-06,0.000532446,5.28E-07,5.95E-07,1,0.0216234,0.266808,0.00369618,0.000586882,0
242790.9766,4107074.768,0.312631,0.543847,0.996779,0.868815,5.26E-08,0.074553,0.000489747,0.99979,4.43E-06,0.0583403,3.68E-07,0.0187584,0.000200013,0.00805124,0.147073,0.287161
272790.9766,4116374.768,0.605204,0.528461,1.003,0.792341,7.37E-07,0.00149529,5.28E-06,3.64E-05,2.33E-05,0.00001147,0.852593,0.0165251,0.00022083,0.911139,0.0663303,0
265440.9766,4106174.768,0.45994,0.522135,0.999704,0.685419,0.000066019,0.99979,0.963341,0.000183639,8.96E-05,3.77E-05,0.775812,0.000571237,0.13926,0.242666,0.0388184,0
269490.9766,4141724.768,0.685655,0.562665,0.999669,0.457241,8.74E-09,1.96E-05,7.98E-05,2.55E-07,1.18E-07,1.59E-06,0.0239641,0.000303175,0.0239641,0.0536067,0.0142809,0
276390.9766,4098974.768,0.567488,0.427823,-0.33947,0.55858,0.00251114,9.07E-06,1.56E-06,3.44E-05,2.74E-07,3.11E-07,1,0.000394785,0.0334507,0.505554,0.745918,0.48332
